,HOME,AWAY,PER,TS%,TRB%,TOV%,OWS,DWS,VORP,Result
483,Miami Heat,Orlando Magic,0.152452941,0.086938802,0.059393276,0.046590581,0.961491951,0.447982366,1.095971841,1
484,Cleveland Cavaliers,Toronto Raptors,-0.031248007,0.050663798,-0.006398297,0.136265609,-0.256991353,-0.10026333,-0.274952834,1
485,Sacramento Kings,Memphis Grizzlies,-0.143016357,0.024412457,-0.096779743,0.118040685,-0.588278857,-0.8617025,-1.057654827,0
486,Washington Wizards,Philadelphia 76ers,-0.054546245,-0.002802958,0.009103618,0.051967856,-0.705746118,-0.519561108,-0.900391356,0
487,Oklahoma City Thunder,New Orleans Pelicans,-0.118995934,-0.045608806,-0.064724601,-0.000601347,-0.787849425,-0.124575743,-0.563626512,1
488,San Antonio Spurs,Detroit Pistons,0.145394787,0.046070377,0.021771893,-0.106398739,0.637599881,0.244285881,0.714331655,1
489,Chicago Bulls,Indiana Pacers,0.150948948,0.079591647,0.02191941,-0.055267089,0.958174881,0.161514372,0.881539814,1
490,Los Angeles Clippers,Denver Nuggets,-0.054046711,-0.020104933,-0.054685361,-0.044245846,-0.752993002,0.067150354,-0.80689375,0
491,Charlotte Hornets,Houston Rockets,0.15671734,0.023947141,0.022327608,-0.16251666,0.820740465,0.546212635,1.135243857,1
492,Atlanta Hawks,Chicago Bulls,0.044576444,-0.000538173,0.013380096,-0.141694503,0.364660181,-0.184309016,0.1671302,0
493,Minnesota Timberwolves,Boston Celtics,-0.034554096,-0.033870392,-0.050581156,0.00699162,-0.081404159,-0.635885934,-0.567592694,1
494,San Antonio Spurs,Utah Jazz,-0.0511098,-0.06259822,-0.067110638,-0.127288859,-0.643213783,-0.323237982,-0.63379966,0
495,Phoenix Suns,Memphis Grizzlies,-0.022491505,0.0456105,-0.059381151,0.003102225,0.190701743,0.26273021,0.335283617,0
496,Portland Trail Blazers,Dallas Mavericks,0.073298485,0.006622783,0.015868687,0.025484097,0.206463651,0.283145142,0.341549598,0
497,Los Angeles Clippers,Brooklyn Nets,-0.051580366,0.008396034,-0.035807227,0.016996854,-0.28657827,0.424094678,-0.2444415,0
498,Orlando Magic,Milwaukee Bucks,-0.198988111,-0.060339856,-0.058216171,0.131416555,-1.181910083,-0.102855404,-1.276915461,0
499,Miami Heat,Washington Wizards,0.014041528,0.025254985,0.038540838,0.097559635,0.589169624,0.729125677,0.96070752,1
500,Toronto Raptors,Philadelphia 76ers,-0.011898549,-0.054759174,0.038363009,-0.054011488,-0.007022556,0.173419178,0.102394716,0
501,Houston Rockets,Los Angeles Lakers,-0.086684185,-0.00902053,-0.021959321,0.126306401,-0.162712508,-0.411865082,-0.5867512,0
502,Minnesota Timberwolves,New York Knicks,0.070941276,0.010054249,-0.045366531,0.034763672,0.430395651,-0.172447931,0.375871196,0
503,New Orleans Pelicans,Cleveland Cavaliers,-0.002300957,-0.027524408,0.024227647,-0.004800447,-0.155915234,-0.408695255,-0.3871753,1
504,Golden State Warriors,Denver Nuggets,-0.016536167,-0.012629187,0.01024738,0.116031465,-0.415503794,0.48428703,-0.088673873,0
505,Sacramento Kings,Oklahoma City Thunder,0.073551116,0.064540994,-0.002165772,0.025231601,0.561001719,-0.222987145,0.196559849,1
506,Detroit Pistons,New York Knicks,-0.081779115,-0.056334278,-0.063813229,0.044442424,-0.52639906,-0.586577175,-0.679591025,0
507,Indiana Pacers,Charlotte Hornets,-0.176849278,-0.08036774,-0.015430683,0.042067579,-1.103815226,-0.273751214,-1.068549645,0
508,Boston Celtics,Los Angeles Clippers,0.088488976,0.027644082,0.067351616,0.020498255,0.635406627,0.628687461,1.163504117,0
509,Chicago Bulls,Atlanta Hawks,-0.044576444,0.000538173,-0.013380096,0.141694503,-0.364660181,0.184309016,-0.1671302,1
510,Memphis Grizzlies,Los Angeles Lakers,0.113348131,-0.03059516,0.087542753,-0.108697018,0.535508703,0.507331512,0.717610819,1
511,Phoenix Suns,Oklahoma City Thunder,0.194075968,0.085739037,0.03523282,-0.089706859,1.339982319,0.901445565,1.589498293,1
512,Portland Trail Blazers,Utah Jazz,0.001168162,-0.028212128,-0.045658533,-0.132342233,-0.108815949,0.34194152,0.224820109,0
513,Sacramento Kings,Dallas Mavericks,-0.047226367,-0.01457526,-0.021529905,0.140422557,-0.572516949,-0.841287568,-1.051388846,1
514,Brooklyn Nets,Philadelphia 76ers,-0.017674351,-0.007727219,0.020960045,0.0444321,-0.350423451,-0.470901929,-0.402820763,0
515,Orlando Magic,Milwaukee Bucks,-0.198988111,-0.060339856,-0.058216171,0.131416555,-1.181910083,-0.102855404,-1.276915461,0
516,Washington Wizards,Cleveland Cavaliers,-0.011399689,0.001292418,-0.022861094,-0.030286265,-0.441732209,-0.592716956,-0.727833238,1
517,Boston Celtics,Phoenix Suns,-0.010398262,0.01980245,0.025803856,0.094781741,-0.133798845,0.140549795,0.050103491,1
518,Indiana Pacers,Chicago Bulls,0.036325539,0.020667272,0.047108444,0.038596717,0.080023989,0.888500806,0.741515101,0
519,Sacramento Kings,Dallas Mavericks,-0.047226367,-0.01457526,-0.021529905,0.140422557,-0.572516949,-0.841287568,-1.051388846,0
520,Houston Rockets,Miami Heat,-0.107403573,-0.03797745,-0.071064801,0.069519171,-0.640142709,-0.950160958,-1.233823437,0
521,Cleveland Cavaliers,Atlanta Hawks,-0.07063172,-0.011202828,0.013188626,0.180618132,-0.547055007,0.56408546,-0.114415071,0
522,Toronto Raptors,Los Angeles Clippers,0.057356168,-0.055427989,0.053210191,-0.115440442,0.629979165,0.220226429,0.749656979,1
523,Memphis Grizzlies,San Antonio Spurs,0.074769467,-0.011224408,0.080833256,-0.008155599,0.343696091,0.402449292,0.523336152,1
524,Oklahoma City Thunder,New York Knicks,-0.078182334,-0.061616846,-0.055822051,0.02269717,-0.694383664,-0.578557357,-0.696137894,1
525,Utah Jazz,Minnesota Timberwolves,0.043784196,0.04228007,0.070435833,0.030568872,0.324018953,0.153394619,0.292669094,1
526,Los Angeles Lakers,Portland Trail Blazers,-0.045904268,-0.000947398,-0.003384302,0.003821432,-0.511007442,-0.274725583,-0.535405233,1
527,Milwaukee Bucks,New Orleans Pelicans,0.051477966,0.027472865,-0.009725008,-0.105933319,0.523770781,0.199977014,0.800993202,1
528,Detroit Pistons,San Antonio Spurs,-0.145394787,-0.046070377,-0.021771893,0.106398739,-0.637599881,-0.244285881,-0.714331655,1
529,Washington Wizards,Chicago Bulls,-0.037454965,-0.010448583,0.003707628,0.008637364,-0.624127035,-0.212940512,-0.675118109,0
530,Brooklyn Nets,Los Angeles Clippers,0.051580366,-0.008396034,0.035807227,-0.016996854,0.28657827,-0.424094678,0.2444415,0
531,Houston Rockets,Denver Nuggets,-0.132700284,-0.036299171,-0.063258524,0.113371862,-0.872710484,-0.626638784,-1.33313876,0
532,Utah Jazz,Golden State Warriors,0.060208532,0.028578014,0.022273552,-0.102218564,0.540532213,-0.27094053,0.17036064,0
533,Toronto Raptors,New York Knicks,0.074362564,-0.03914743,-0.0089268,-0.108166645,0.506372348,0.054976971,0.529616752,1
534,Boston Celtics,Orlando Magic,0.212191917,0.092799672,0.064253254,-0.021009701,1.076473351,0.820298007,1.551897531,1
535,Cleveland Cavaliers,Indiana Pacers,0.149811102,0.060391399,0.043713532,-0.020682789,0.814054536,0.311573645,0.863097559,1
536,Sacramento Kings,Miami Heat,-0.050387614,-0.035139623,-0.05834247,-0.047443563,-0.530200355,-0.892666864,-0.987116245,1
537,Charlotte Hornets,Phoenix Suns,-0.020823471,-8.87E-05,-0.027793315,0.069384534,-0.068182489,-0.635714169,-0.504401779,0
538,Oklahoma City Thunder,Dallas Mavericks,-0.120777483,-0.079116254,-0.019364133,0.115190956,-1.133518668,-0.618300423,-1.247948695,0
539,Los Angeles Lakers,Minnesota Timberwolves,-0.045904268,-0.000947398,-0.003384302,0.003821432,-0.511007442,-0.274725583,-0.535405233,1
540,Philadelphia 76ers,Houston Rockets,0.14790829,0.015525423,0.023420345,-0.219046662,0.756719203,0.740596389,1.173507273,1
541,Washington Wizards,Charlotte Hornets,-0.063355295,-0.011224676,0.010196355,-0.004562146,-0.76976738,-0.325177354,-0.86212794,1
542,Brooklyn Nets,Memphis Grizzlies,-0.069798377,0.029372834,-0.065121684,0.060388857,-0.291925459,-0.649502134,-0.533675509,0
543,Chicago Bulls,Orlando Magic,0.175866378,0.0721324,0.01714481,-0.059606418,0.996449362,-0.068202799,0.81038243,1
544,Milwaukee Bucks,Detroit Pistons,0.174070681,0.067799103,0.062990771,-0.127077226,1.143635602,0.332572575,1.348072845,0
545,New Orleans Pelicans,Utah Jazz,-0.073911872,-0.068342359,-0.016166752,-0.042034027,-0.660948843,-0.434928302,-0.801051672,0
546,Dallas Mavericks,Denver Nuggets,-0.028457958,-0.018886084,-0.029006288,-0.144013429,-0.190251181,0.272142878,-0.035042722,1
547,Golden State Warriors,Miami Heat,0.008760544,-0.014307466,0.002441103,0.072178774,-0.182936019,0.160764856,0.01064145,1
548,Portland Trail Blazers,Atlanta Hawks,-0.059229337,0.001037109,0.031309473,0.320070276,-0.582553611,0.861259037,0.129100661,1
549,Los Angeles Clippers,Minnesota Timberwolves,-0.05393488,0.00622631,-0.01677046,-0.027489875,-0.554002468,0.007198473,-0.595911423,0
550,Cleveland Cavaliers,Memphis Grizzlies,-0.095270582,0.033004677,-0.054117017,0.098210878,-0.205515917,-0.105444357,-0.303412864,0
551,Toronto Raptors,San Antonio Spurs,0.010746892,-0.028883529,0.033114536,-0.04621033,0.395171527,0.397268265,0.494876122,1
552,New York Knicks,Indiana Pacers,-0.063615672,0.010263901,0.042041336,0.061956315,-0.111200821,0.342291294,-0.03474063,1
553,New Orleans Pelicans,Phoenix Suns,-0.075080034,-0.040130231,0.029491781,0.090308206,-0.552132894,-0.776869822,-1.025871781,0
554,Los Angeles Lakers,Sacramento Kings,0.029668226,0.006182703,0.00923699,-0.009343667,0.052770154,0.354370988,0.340044008,1
555,Charlotte Hornets,Detroit Pistons,0.176849278,0.08036774,0.015430683,-0.042067579,1.103815226,0.273751214,1.068549645,1
556,Orlando Magic,Philadelphia 76ers,-0.192957658,-0.064486775,-0.01174882,0.10293691,-1.078068445,-0.238417797,-1.035655677,0
557,Washington Wizards,Houston Rockets,0.093362045,0.012722465,0.032523963,-0.167078806,0.050973085,0.221035281,0.273115917,0
558,Boston Celtics,San Antonio Spurs,0.0418797,0.054188542,0.047255961,0.089728367,0.400598989,0.805729297,0.90872326,0
